State/UT Code,State/UT Name,Number of enterprises owned by - SC,Number of enterprises owned by - ST,Number of enterprises owned by - OBC,Number of enterprises owned by - Others,Number of enterprises owned by - Total
1,JAMMU & KASHMIR,0.01,0.01,0.01,0.12,0.15
2,HIMACHAL PRADESH,0.02,0.01,0.02,0.08,0.12
3,PUNJAB,0.06,0.01,0.14,0.27,0.48
4,CHANDIGARH,0,0,0,0.01,0.01
5,UTTARAKHAND,0.04,0.01,0.02,0.17,0.24
6,HARYANA,0.03,0,0.08,0.22,0.33
7,DELHI,0,0,0,0.04,0.04
8,RAJASTHAN,0.04,0.01,0.2,0.29,0.55
9,UTTAR PRADESH,0.14,0.01,0.68,1.05,1.88
10,BIHAR,0.06,0.01,0.29,0.13,0.5
11,SIKKIM,0,0,0,0,0
12,ARUNACHAL PRADESH,0,0,0,0,0
13,NAGALAND,0,0.01,0,0,0.01
14,MANIPUR,0,0.01,0,0.03,0.04
15,MIZORAM,0,0.04,0,0,0.04
16,TRIPURA,0,0,0,0.01,0.01
17,MEGHALAYA,0,0.03,0,0,0.03
18,ASSAM,0.02,0.01,0.04,0.13,0.2
19,WEST BENGAL,0.04,0,0.04,0.34,0.43
20,JHARKHAND,0.01,0.01,0.08,0.08,0.18
21,ORISSA,0.01,0,0.05,0.13,0.2
22,CHHATTISGARH,0.03,0.04,0.09,0.07,0.23
23,MADHYA PRADESH,0.14,0.07,0.51,0.35,1.07
24,GUJARAT,0.05,0.03,0.18,2.03,2.3
25,DAMAN & DIU,0,0,0,0.01,0.01
26,DADRA & NAGAR HAVELI,0,0,0,0.02,0.02
27,MAHARASHTRA,0.05,0.02,0.12,0.68,0.87
28,ANDHRA PRADESH,0.02,0.01,0.16,0.28,0.46
29,KARNATAKA,0.17,0.06,0.64,0.5,1.36
30,GOA,0,0,0,0.02,0.03
31,LAKSHADWEEP,0,0,0,0,0
32,KERALA,0.06,0.01,0.84,0.59,1.5
33,TAMIL NADU,0.18,0.02,1.77,0.37,2.34
34,PUDUCHERRY,0,0,0.01,0,0.01
35,ANDAMAN & NICOBAR ILS.,0,0,0,0.01,0.01
All India,All India,1.19,0.45,5.99,8.02,15.64
